Sample in Buffer,Sample in Window,TRIGGER,tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_empty,tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_data[28:0],tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_read,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_empty,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_data[39:0],tdc_decoder_top_inst/inst_event_builder_triggerless/matching_busy,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_read,tdc_decoder_top_inst/inst_event_builder_triggerless/readout_fifo_full,tdc_decoder_top_inst/inst_event_builder_triggerless/event_data[39:0],tdc_decoder_top_inst/inst_event_builder_triggerless/event_data_ready,tdc_decoder_top_inst/inst_event_builder_triggerless/building_busy,tdc_decoder_top_inst/inst_event_builder_triggerless/hit_count[9:0],tdc_decoder_top_inst/inst_event_builder_triggerless/state[5:0],tdc_decoder_top_inst/inst_event_builder_triggerless/nextstate[5:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
1,1,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
2,2,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
3,3,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
4,4,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
5,5,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
6,6,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
7,7,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
8,8,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
9,9,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
10,10,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
11,11,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
12,12,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
13,13,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
14,14,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
15,15,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
16,16,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
17,17,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
18,18,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
19,19,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
20,20,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
21,21,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
22,22,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
23,23,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
24,24,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
25,25,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
26,26,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
27,27,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
28,28,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
29,29,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
30,30,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
31,31,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
32,32,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
33,33,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
34,34,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
