Sample in Buffer,Sample in Window,TRIGGER,tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[0].inst_tdcv2_decoder/inst_phase_select/tdc_dline_1[7:0],tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[0].inst_tdcv2_decoder/inst_phase_select/tdc_dline_0[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,60,00
1,1,0,60,00
2,2,0,60,00
3,3,0,60,00
4,4,0,60,00
5,5,0,60,00
6,6,0,60,00
7,7,0,60,00
8,8,0,60,00
9,9,0,60,00
10,10,0,60,00
11,11,0,60,00
12,12,0,60,00
13,13,0,60,00
14,14,0,60,00
15,15,0,60,00
16,16,0,60,00
17,17,0,60,00
18,18,0,60,00
19,19,0,60,00
20,20,0,60,00
21,21,0,60,00
22,22,0,60,00
23,23,0,60,00
24,24,0,60,00
25,25,0,60,00
26,26,0,60,00
27,27,0,60,00
28,28,0,60,00
29,29,0,60,00
30,30,0,60,00
31,31,0,60,00
32,32,0,60,00
33,33,0,60,00
34,34,0,60,00
35,35,0,60,00
36,36,0,60,00
37,37,0,60,00
38,38,0,60,00
39,39,0,60,00
40,40,0,60,00
41,41,0,60,00
42,42,0,60,00
43,43,0,60,00
44,44,0,60,00
45,45,0,60,00
46,46,0,60,00
47,47,0,60,00
48,48,0,60,00
49,49,0,60,00
50,50,0,60,00
51,51,0,60,00
52,52,0,60,00
53,53,0,60,00
54,54,0,60,00
55,55,0,60,00
56,56,0,60,00
57,57,0,60,00
58,58,0,60,00
59,59,0,60,00
60,60,0,60,00
61,61,0,60,00
62,62,0,60,00
63,63,0,60,00
64,64,0,60,00
65,65,0,60,00
66,66,0,60,00
67,67,0,60,00
68,68,0,60,00
69,69,0,60,00
70,70,0,60,00
71,71,0,60,00
72,72,0,60,00
73,73,0,60,00
74,74,0,60,00
75,75,0,60,00
76,76,0,60,00
77,77,0,60,00
78,78,0,60,00
79,79,0,60,00
80,80,0,60,00
81,81,0,60,00
82,82,0,60,00
83,83,0,60,00
84,84,0,60,00
85,85,0,60,00
86,86,0,60,00
87,87,0,60,00
88,88,0,60,00
89,89,0,60,00
90,90,0,60,00
91,91,0,60,00
92,92,0,60,00
93,93,0,60,00
94,94,0,60,00
95,95,0,60,00
96,96,0,60,00
97,97,0,60,00
98,98,0,60,00
99,99,0,60,00
100,100,0,60,00
101,101,0,60,00
102,102,0,60,00
103,103,0,60,00
104,104,0,60,00
105,105,0,60,00
106,106,0,60,00
107,107,0,60,00
108,108,0,60,00
109,109,0,60,00
110,110,0,60,00
111,111,0,60,00
112,112,0,60,00
113,113,0,60,00
114,114,0,60,00
115,115,0,60,00
116,116,0,60,00
117,117,0,60,00
118,118,0,60,00
119,119,0,60,00
120,120,0,60,00
121,121,0,60,00
122,122,0,60,00
123,123,0,60,00
124,124,0,60,00
125,125,0,60,00
126,126,0,60,00
127,127,0,60,00
128,128,0,60,00
129,129,0,60,00
130,130,0,60,00
131,131,0,60,00
132,132,0,60,00
133,133,0,60,00
134,134,0,60,00
135,135,0,60,00
136,136,0,60,00
137,137,0,60,00
138,138,0,60,00
139,139,0,60,00
140,140,0,60,00
141,141,0,60,00
142,142,0,60,00
143,143,0,60,00
144,144,0,60,00
145,145,0,60,00
146,146,0,60,00
147,147,0,60,00
148,148,0,60,00
149,149,0,60,00
150,150,0,60,00
151,151,0,60,00
152,152,0,60,00
153,153,0,60,00
154,154,0,60,00
155,155,0,60,00
156,156,0,60,00
157,157,0,60,00
158,158,0,60,00
159,159,0,60,00
160,160,0,60,00
161,161,0,60,00
162,162,0,60,00
163,163,0,60,00
164,164,0,60,00
165,165,0,60,00
166,166,0,60,00
167,167,0,60,00
168,168,0,60,00
169,169,0,60,00
170,170,0,60,00
171,171,0,60,00
172,172,0,60,00
173,173,0,60,00
174,174,0,60,00
175,175,0,60,00
176,176,0,60,00
177,177,0,60,00
178,178,0,60,00
179,179,0,60,00
180,180,0,60,00
181,181,0,60,00
182,182,0,60,00
183,183,0,60,00
184,184,0,60,00
185,185,0,60,00
186,186,0,60,00
187,187,0,60,00
188,188,0,60,00
189,189,0,60,00
190,190,0,60,00
191,191,0,60,00
192,192,0,60,00
