Sample in Buffer,Sample in Window,TRIGGER,num_active_ports_1[4:0],sa_done_1,lock_OBUF_1,active_chains_1[17:0],JTAG_busy,tdi_tdo_equal_1,chain_success_1[5:0],elink_ttc_org,tdo_IBUF[17:0],tdi_OBUF[17:0],tck_OBUF[17:0],tms_OBUF[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
1,1,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
2,2,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
3,3,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
4,4,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
5,5,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
6,6,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
7,7,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
8,8,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
9,9,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
10,10,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
11,11,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
12,12,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
13,13,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
14,14,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
15,15,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
16,16,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
17,17,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
18,18,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
19,19,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
20,20,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
21,21,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
22,22,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
23,23,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
24,24,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
25,25,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
