Sample in Buffer,Sample in Window,TRIGGER,tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/tdc_hit_data_sync[31:0],tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/sync_fifo_empty,tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/matched_data[31:0],tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/match_valid,tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/ram_data_out[31:0],tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/waddr[9:0],tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/raddr[9:0],tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/saddr[9:0],tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/ram_empty,tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/ram_full,tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/ram_read,tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/state[4:0],tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/next[4:0],tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/in_range_keep,tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/in_range_match,tdc_decoder_top_inst/tdcv2_decoder_wrapper_master/tdcv2_decoder[1].inst_tdcv2_decoder/trigger_matching_inst/in_range_search
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
1,1,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
2,2,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
3,3,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
4,4,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
5,5,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
6,6,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
7,7,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
8,8,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
9,9,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
10,10,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
11,11,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
12,12,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
13,13,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
14,14,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
15,15,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
16,16,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
17,17,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
18,18,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
19,19,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
20,20,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
21,21,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
22,22,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
23,23,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
24,24,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
25,25,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
26,26,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
27,27,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
28,28,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
29,29,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
30,30,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
31,31,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
32,32,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
33,33,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
34,34,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
35,35,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
36,36,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
37,37,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
38,38,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
39,39,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
40,40,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
41,41,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
42,42,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
43,43,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
44,44,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
45,45,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
46,46,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
47,47,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
48,48,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
49,49,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
50,50,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
51,51,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
52,52,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
53,53,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
54,54,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
55,55,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
56,56,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
57,57,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
58,58,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
59,59,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
60,60,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
61,61,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
62,62,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
63,63,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
64,64,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
65,65,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
66,66,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
67,67,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
68,68,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
69,69,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
70,70,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
71,71,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
72,72,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
73,73,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
74,74,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
75,75,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
76,76,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
77,77,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
78,78,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
79,79,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
80,80,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
81,81,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
82,82,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
83,83,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
84,84,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
85,85,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
86,86,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
87,87,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
88,88,0,5606b492,1,00000000,0,3f096362,245,245,245,1,0,1,01,01,0,0,0
