MZ	MezzCh	locY	locZ	Layer	Tube_y	ML
0	105	45.7675	30.0175	1	1	1
0	103	45.7675	60.0525	1	2	1
0	104	45.7675	90.0875	1	3	1
0	102	45.7675	120.122	1	4	1
0	100	45.7675	150.157	1	5	1
0	101	45.7675	180.192	1	6	1
2	305	45.7675	210.227	1	7	1
2	303	45.7675	240.262	1	8	1
2	304	45.7675	270.297	1	9	1
2	302	45.7675	300.332	1	10	1
2	300	45.7675	330.367	1	11	1
2	301	45.7675	360.402	1	12	1
4	505	45.7675	390.437	1	13	1
4	503	45.7675	420.472	1	14	1
4	504	45.7675	450.507	1	15	1
4	502	45.7675	480.542	1	16	1
4	500	45.7675	510.577	1	17	1
4	501	45.7675	540.612	1	18	1
6	705	45.7675	570.647	1	19	1
6	703	45.7675	600.682	1	20	1
6	704	45.7675	630.717	1	21	1
6	702	45.7675	660.752	1	22	1
6	700	45.7675	690.787	1	23	1
6	701	45.7675	720.822	1	24	1
8	905	45.7675	750.857	1	25	1
8	903	45.7675	780.892	1	26	1
8	904	45.7675	810.927	1	27	1
8	902	45.7675	840.962	1	28	1
8	900	45.7675	870.997	1	29	1
8	901	45.7675	901.032	1	30	1
0	111	71.7786	15.0	2	1	1
0	109	71.7786	45.035	2	2	1
0	110	71.7786	75.07	2	3	1
0	108	71.7786	105.105	2	4	1
0	106	71.7786	135.14	2	5	1
0	107	71.7786	165.175	2	6	1
2	311	71.7786	195.21	2	7	1
2	309	71.7786	225.245	2	8	1
2	310	71.7786	255.28	2	9	1
2	308	71.7786	285.315	2	10	1
2	306	71.7786	315.35	2	11	1
2	307	71.7786	345.385	2	12	1
4	511	71.7786	375.42	2	13	1
4	509	71.7786	405.455	2	14	1
4	510	71.7786	435.49	2	15	1
4	508	71.7786	465.525	2	16	1
4	506	71.7786	495.56	2	17	1
4	507	71.7786	525.595	2	18	1
6	711	71.7786	555.63	2	19	1
6	709	71.7786	585.665	2	20	1
6	710	71.7786	615.7	2	21	1
6	708	71.7786	645.735	2	22	1
6	706	71.7786	675.77	2	23	1
6	707	71.7786	705.805	2	24	1
8	911	71.7786	735.84	2	25	1
8	909	71.7786	765.875	2	26	1
8	910	71.7786	795.91	2	27	1
8	908	71.7786	825.945	2	28	1
8	906	71.7786	855.98	2	29	1
8	907	71.7786	886.015	2	30	1
0	117	97.7896	30.0175	3	1	1
0	115	97.7896	60.0525	3	2	1
0	116	97.7896	90.0875	3	3	1
0	114	97.7896	120.122	3	4	1
0	112	97.7896	150.157	3	5	1
0	113	97.7896	180.192	3	6	1
2	317	97.7896	210.227	3	7	1
2	315	97.7896	240.262	3	8	1
2	316	97.7896	270.297	3	9	1
2	314	97.7896	300.332	3	10	1
2	312	97.7896	330.367	3	11	1
2	313	97.7896	360.402	3	12	1
4	517	97.7896	390.437	3	13	1
4	515	97.7896	420.472	3	14	1
4	516	97.7896	450.507	3	15	1
4	514	97.7896	480.542	3	16	1
4	512	97.7896	510.577	3	17	1
4	513	97.7896	540.612	3	18	1
6	717	97.7896	570.647	3	19	1
6	715	97.7896	600.682	3	20	1
6	716	97.7896	630.717	3	21	1
6	714	97.7896	660.752	3	22	1
6	712	97.7896	690.787	3	23	1
6	713	97.7896	720.822	3	24	1
8	917	97.7896	750.857	3	25	1
8	915	97.7896	780.892	3	26	1
8	916	97.7896	810.927	3	27	1
8	914	97.7896	840.962	3	28	1
8	912	97.7896	870.997	3	29	1
8	913	97.7896	901.032	3	30	1
0	123	123.801	15.0	4	1	1
0	121	123.801	45.035	4	2	1
0	122	123.801	75.07	4	3	1
0	120	123.801	105.105	4	4	1
0	118	123.801	135.14	4	5	1
0	119	123.801	165.175	4	6	1
2	323	123.801	195.21	4	7	1
